model,family,tasks,n,acc_original,acc_cap32k,delta,responses_over_32k,correct_lost_by_cap
google_gemma-4-31b-it,array_formula,6,600,0.4050,0.4050,+0.0000,0,0
google_gemma-4-31b-it,causal_dag,6,600,0.5100,0.5100,+0.0000,0,0
google_gemma-4-31b-it,cipher,6,600,0.3467,0.3467,+0.0000,0,0
google_gemma-4-31b-it,cryptarithmetic,6,600,0.4250,0.4250,+0.0000,0,0
google_gemma-4-31b-it,hanoi,6,600,0.2567,0.2567,+0.0000,0,0
google_gemma-4-31b-it,inequality,6,600,0.6550,0.6550,+0.0000,0,0
google_gemma-4-31b-it,jamo,3,300,0.1367,0.1367,+0.0000,0,0
google_gemma-4-31b-it,kinship,3,300,0.3467,0.3467,+0.0000,0,0
google_gemma-4-31b-it,korean_units,3,300,0.0333,0.0333,+0.0000,0,0
google_gemma-4-31b-it,minesweeper,6,600,0.4983,0.4983,+0.0000,0,0
google_gemma-4-31b-it,number_baseball,6,600,0.6017,0.6017,+0.0000,0,0
google_gemma-4-31b-it,saju,3,300,0.4967,0.4967,+0.0000,0,0
google_gemma-4-31b-it,sat_puzzles,6,600,0.5167,0.5167,+0.0000,0,0
google_gemma-4-31b-it,sudoku,6,600,0.7733,0.7733,+0.0000,0,0
google_gemma-4-31b-it,time,3,300,0.5333,0.5333,+0.0000,0,0
google_gemma-4-31b-it,yacht_dice,6,600,0.5450,0.5450,+0.0000,0,0
openai_gpt-oss-120b,array_formula,6,600,0.3367,0.3367,+0.0000,0,0
openai_gpt-oss-120b,causal_dag,6,600,0.4200,0.4200,+0.0000,0,0
openai_gpt-oss-120b,cipher,6,600,0.2817,0.2817,+0.0000,0,0
openai_gpt-oss-120b,cryptarithmetic,6,600,0.3183,0.3183,+0.0000,0,0
openai_gpt-oss-120b,hanoi,6,600,0.4533,0.4533,+0.0000,1,0
openai_gpt-oss-120b,inequality,6,600,0.6733,0.6700,-0.0033,36,2
openai_gpt-oss-120b,jamo,3,300,0.0867,0.0867,+0.0000,0,0
openai_gpt-oss-120b,kinship,3,300,0.0700,0.0700,+0.0000,0,0
openai_gpt-oss-120b,korean_units,3,300,0.8467,0.8467,+0.0000,0,0
openai_gpt-oss-120b,minesweeper,6,600,0.7233,0.7033,-0.0200,45,12
openai_gpt-oss-120b,number_baseball,6,600,0.6483,0.6450,-0.0033,21,2
openai_gpt-oss-120b,saju,3,300,0.1767,0.1767,+0.0000,0,0
openai_gpt-oss-120b,sat_puzzles,6,600,0.2933,0.2917,-0.0017,41,1
openai_gpt-oss-120b,sudoku,6,600,0.9983,0.9983,+0.0000,0,0
openai_gpt-oss-120b,time,3,300,0.5967,0.5967,+0.0000,0,0
openai_gpt-oss-120b,yacht_dice,6,600,0.5350,0.5350,+0.0000,0,0
